Alpha PSD,Beta PSD,Gamma PSD,Theta PSD,Delta PSD,HFD Alpha,HFD Beta
3.6683531220213743e-13,6.113859689898609e-13,8.971019764332938e-14,6.50911930413164e-13,1.9745356820812122e-12,1.1150308720040731,1.550562367482087
1.1033576797239837e-13,1.3304252687399623e-13,1.387407434093863e-14,2.8299556897884017e-13,3.7041394445053397e-13,1.1135028961546563,1.5238863543711025
5.285452805890279e-13,8.356358010171261e-13,9.420333932028117e-14,2.4736218384003166e-12,1.0049348474024352e-12,1.1210472773930744,1.4757316748920688
2.122334046748377e-13,2.2455809225773153e-13,2.5078069006466728e-14,1.1802601051248428e-12,1.5540778213138703e-12,1.1152974534934694,1.5539616647689463
4.5277404000029886e-13,1.1013656702567595e-12,1.838933824003407e-13,2.5692711214277804e-12,2.6824070013670036e-12,1.12048591520681,1.5883322980793528
1.4457339289307663e-12,2.4818745457976424e-13,1.4009886355162454e-14,3.463755079091435e-13,4.022294090533745e-13,1.1136033981110216,1.4786626344697367
3.3455297083646507e-13,2.419154206234968e-13,1.8628118081515787e-14,4.006046120875682e-12,2.4920732465897126e-12,1.1201781330873177,1.4777550924292064
3.772132251789252e-13,4.2766196590790394e-13,5.1660014753143954e-14,3.0070260589886124e-12,2.756475655643309e-12,1.1258800086082907,1.5203497661964618
1.8425676059712448e-13,3.4672804518438425e-13,3.245487501003676e-14,2.198399398638114e-12,1.832158955803243e-12,1.1202625113563913,1.535467974349256
3.3455297083646507e-13,2.419154206234968e-13,1.8628118081515787e-14,4.006046120875682e-12,2.4920732465897126e-12,1.1201781330873177,1.4777550924292064
4.715458641084089e-12,1.0478123503757859e-12,5.760504955163619e-14,1.7433078545587528e-12,4.207409534398331e-12,1.1006650868199264,1.455942797200141
1.1031368620053365e-11,9.693961004169355e-12,2.7440915508874167e-13,1.124748312740683e-11,9.541108875728675e-12,1.1162814120211768,1.414675522841094
9.04470091905048e-12,9.907803228058393e-12,2.9833972064602676e-13,1.0937339553604522e-11,1.0596454754444528e-11,1.1206713917724294,1.4325305270188855
1.1575552498388975e-12,9.49329892951569e-13,5.3213358628603575e-14,1.4230561752125127e-12,9.55909689765511e-12,1.107509162090022,1.4703539071033298
3.7106898522598924e-13,3.6799204357187723e-13,3.306430218706216e-14,1.0115461866025897e-12,9.85407383436633e-13,1.1084574744518265,1.4687719408660598
2.9451445752864884e-13,5.007595876899477e-13,6.373346529302253e-14,8.409754768384533e-13,5.897047631563809e-13,1.1139202132515014,1.5214027288486784
1.6462020141734104e-12,5.148359690319672e-13,3.6459949852803995e-14,2.885472778826062e-12,5.369888624308191e-13,1.1177296753174497,1.4304811689113506
1.5250562597669216e-12,3.8822781081159487e-13,2.623390848307321e-14,9.838486200038454e-13,7.381794640721563e-13,1.1035112259089555,1.4929554356039458
4.4413180386507444e-13,8.451367527091952e-13,9.237695446338649e-14,2.4138520006359248e-12,6.736017121009311e-12,1.1167557150152847,1.5399336675202497
3.3455297083646507e-13,2.419154206234968e-13,1.8628118081515787e-14,4.006046120875682e-12,2.4920732465897126e-12,1.1201781330873177,1.4777550924292064
2.4135005214259267e-13,2.0732947924580967e-13,1.6005773020349355e-14,2.530580498364212e-12,2.8989077030003714e-13,1.1177316841624019,1.4754847973485938
3.3455297083646507e-13,2.419154206234968e-13,1.8628118081515787e-14,4.006046120875682e-12,2.4920732465897126e-12,1.1201781330873177,1.4777550924292064
2.93919451800597e-13,4.972883356935655e-13,5.67317197384644e-14,1.87418435493083e-12,3.495641423408868e-13,1.1175300650596933,1.5603431419865244
8.614719970767963e-12,1.3729514732710655e-11,8.602047326340749e-13,1.0443988627761888e-11,1.7543432664054856e-11,1.1100800453394724,1.5386760229443455
3.5851495734698956e-13,7.82727709720754e-13,1.139267759623096e-13,1.5618098238949688e-12,5.164389105651748e-13,1.1185055316019228,1.5916815742581862
6.129598689078892e-13,7.424742557189032e-13,9.409286202221812e-14,2.542166738662045e-12,4.504451107199795e-12,1.1141466537771372,1.5484608116624208
8.153000688972388e-12,1.3078279749912137e-11,8.901600943168199e-13,7.844551863193506e-12,5.9467684285509386e-12,1.1071889634275143,1.4964402098147573
1.1765700386074063e-12,3.758214121101822e-13,2.133403120732555e-14,2.2180326907646253e-12,3.2214895736151097e-13,1.116366964985513,1.4976165166687856
3.0303573781453523e-13,1.826445277965687e-13,1.1832835904625457e-14,1.432291141203052e-12,3.7170462810748943e-13,1.1182726128463134,1.50986170941891
5.035380155841861e-13,7.514993792360055e-13,9.251306015520574e-14,1.2366708316476793e-12,5.928574556309713e-13,1.116932986224603,1.5083339193800698
2.3585557168014665e-13,4.007042907203834e-13,5.542393989857137e-14,6.688150996920075e-13,2.4382733509130198e-12,1.1191477549875108,1.558400963681576
2.4991958816860505e-13,2.0201451844940752e-13,1.8148845619080535e-14,1.3829648943422272e-12,3.915913238058921e-13,1.1188403650529384,1.5315731731848887
5.109776738161019e-13,3.24270140097671e-13,1.9788530934281348e-14,5.379803499290754e-12,9.644187804494432e-12,1.1166356476929478,1.4681433196792837
6.319111980682396e-13,7.444345323143054e-13,7.164202612739563e-14,2.5127963486741304e-13,2.2218550859303002e-13,1.1145632319079333,1.5252861296652351
2.107707750837197e-13,3.265586087007451e-13,4.8378872585562835e-14,5.836953162561647e-13,9.418859874927186e-13,1.118010981868396,1.548480459236467
1.2510643555821442e-12,7.444068989652969e-13,8.25162054711278e-14,3.38084014401331e-13,3.933590440275497e-13,1.119716420553569,1.5331963070963457
7.06388283399382e-13,8.342834049377362e-13,1.3676570602555623e-13,3.025321967970668e-12,5.252231027942008e-12,1.1180480397466892,1.593236322896729
4.840607253624858e-13,9.705358611189419e-13,1.373797117887873e-13,1.2083412374161573e-12,2.4564392974375867e-12,1.1170176296440828,1.5921521289346994
2.0660978369727232e-13,3.5677831823422054e-13,3.8823082329106275e-14,8.441918256422969e-13,6.86155982775823e-13,1.1157015466534177,1.5868643747806268
7.307793846150415e-13,1.8983830435212952e-12,3.0798163919650165e-13,5.596281393659315e-12,1.2900147290729766e-11,1.115489538665712,1.5561878507452822
5.365532024561143e-13,5.16892868553907e-13,6.342185167991803e-14,2.270162143346348e-13,3.1160439671092286e-13,1.1116946393694453,1.5213719126991847
3.7507751482014896e-13,2.6026153163463123e-13,1.6969431382713083e-14,2.948288174276497e-12,7.691194484734176e-12,1.1077687764537212,1.5157115797946141
7.254215318175269e-13,1.0975511936023533e-12,1.64116714111645e-13,3.4166350830815007e-12,3.3509308290519158e-12,1.1185734671925514,1.6432072929772898
3.6032510089939694e-13,3.462915119023075e-13,3.496809078352602e-14,2.501741570988161e-13,4.2187945340117074e-13,1.111376384087328,1.5339875661782592
3.599585048971841e-13,1.6475327423849164e-13,2.0074716614258632e-14,2.1358049157945108e-12,3.2845260117012255e-12,1.108212699220864,1.5353575779375106
3.181233063017358e-13,6.98673347410922e-13,1.0146074551095263e-13,3.7372942319904165e-13,2.0114395183515163e-13,1.107584465072878,1.6088981631083954
3.1079458385276414e-13,1.7841638788592e-12,4.042419099731014e-13,5.191332192882242e-13,1.9637162115641492e-12,1.114623753450911,1.6230496906120078
3.86439292421053e-13,4.477975066223539e-13,4.9427968520453125e-14,1.6884481383051308e-12,3.2501708764333244e-12,1.1106340642442296,1.5379290263295369
9.565505215122484e-13,2.3523809455687776e-13,2.050051776387217e-14,2.159997763279469e-13,2.5197885223487586e-13,1.1116649305181796,1.4920082225696565
4.11663732840279e-13,2.3199718560955193e-13,2.1381036688941807e-14,2.9772767203718087e-12,5.263510923540078e-12,1.1108567247881684,1.5658567273365884
1.1182458291268713e-12,5.660376654804073e-13,6.212751417433152e-14,6.935708306399163e-12,1.727629372244419e-11,1.1109155890454088,1.5932615475834857
1.8829583837471945e-13,2.319590832472105e-13,2.9408084322666346e-14,2.0155843001251832e-13,1.6969052119639053e-13,1.110687782249023,1.5001599267892434
1.350605785822147e-13,2.5057242048251247e-13,4.0139121649705754e-14,1.516526680020842e-13,2.390732137953399e-13,1.1124128480999238,1.5210653513315637
3.840452778158603e-13,3.9055587256865107e-13,2.1439846428831705e-14,1.1643509404606407e-13,2.6788617695662914e-13,1.1272946378313482,1.412141663183031
2.820602384554735e-13,5.937643226697798e-13,9.59627697179246e-14,8.790888879062296e-13,1.7587133713852726e-12,1.124843195028575,1.5526062172993473
2.37524050267512e-13,3.950603820922267e-13,4.1598544884407547e-14,3.0393195949780807e-13,2.1315508099940316e-13,1.1148068163991247,1.5599369274027766
3.293295840256781e-13,5.988515897813289e-13,7.508765962612276e-14,6.134810612004336e-13,6.949296127744478e-13,1.1162962720151717,1.6046288812790337
1.5042432455424065e-13,2.2260829100525763e-13,3.82895807964897e-14,2.7268730963355183e-13,1.524584526424346e-12,1.114373685325167,1.5212004918116386
1.3466251887171792e-13,2.14655358178231e-13,2.4545650977612276e-14,1.531388209724695e-13,2.952082928267993e-13,1.1147541380929855,1.5037608529598667
1.2829229620705083e-12,9.97067511206302e-13,3.001927595165547e-14,5.830603398946513e-13,6.216813582901944e-13,1.1203784320341479,1.495968896539723
4.761237369384915e-13,2.842132855142955e-13,2.904650954289862e-14,1.2107673153992082e-12,3.2255321928161326e-12,1.1115430968600626,1.4808175987226486
1.1969755704379488e-12,1.2233617062215018e-12,9.327694502756288e-14,4.911171677283424e-13,5.057370770730406e-13,1.122763378117702,1.4079129386282803
4.5240791493633816e-13,2.4976503110262853e-13,2.161367981493844e-14,6.05950004521794e-13,6.596984031141337e-13,1.1008098453047652,1.493806267391364
3.2913298043944836e-13,2.2479048373283264e-13,1.5406572332865068e-14,1.055681798741449e-12,1.2321938701310532e-12,1.10430857741347,1.4961265733576554
3.45320867355153e-13,2.900053852295483e-13,3.2851777336177286e-14,3.884422263651099e-12,8.065618869067809e-12,1.1146136964427955,1.5015187017087468
2.2055127013723467e-12,5.106710455032475e-13,3.4107061835805486e-14,6.79883948904997e-13,5.200080507871647e-13,1.0899960099122619,1.4747107104107617
1.1246876697270498e-11,2.9220617975180535e-11,4.029330350618566e-12,1.2039738809264012e-11,9.672257437879835e-12,1.1169228722581845,1.5024258697672332
8.843782834884039e-14,2.8463840029156907e-13,4.4759847760770647e-14,2.1304417105220563e-13,3.1812848492803755e-13,1.1207880856144699,1.5210683061613195
1.5368954508198095e-13,3.493622713747429e-13,4.475260498093279e-14,1.1677231522099659e-12,2.3370474445230358e-12,1.1164837242966075,1.5910316533179953
1.293726829059979e-12,1.390392661172928e-12,1.394955497513183e-13,4.961501647791763e-13,3.996391803493627e-13,1.103165843094134,1.4640099526253059
3.07326214565918e-13,6.714717572306956e-13,7.143379452850313e-14,5.970604844194129e-13,5.132833915495058e-13,1.1163060337904107,1.5104422773473043
3.317775344045973e-13,4.275987552854143e-13,3.6258601518616004e-14,8.118819720713424e-13,1.8025383096091746e-12,1.1115145655386403,1.4910877704973662
5.151537853129926e-13,6.938567961877972e-13,8.224918358787427e-14,1.0064078532546624e-12,2.3250183662406598e-12,1.0992194719063608,1.511576448569839
7.953196709527111e-13,4.609494348411322e-13,2.387469067211171e-14,5.013850899821424e-13,1.0334376950368553e-12,1.1159663554180326,1.4591676558616107
3.706117700500107e-13,5.289728457449518e-13,6.165774061489038e-14,2.2119518169492033e-12,4.138389014950124e-12,1.1129611937757355,1.5759171374925471
3.414256398447279e-13,3.6909260891882195e-13,2.6621197036558547e-14,1.5395200864404e-13,1.3267012946580775e-13,1.1194367777143572,1.454834032429658
4.3957871280323343e-13,4.402250517992379e-13,3.975041622346505e-14,2.1507268166617378e-12,4.373579511305382e-12,1.1177816960679514,1.4862354138402813
3.2998527919633154e-12,1.1205057210309788e-12,8.688867710674819e-14,2.519998712896833e-12,8.009143896449169e-12,1.1089693069541382,1.5066839718000469
5.907662022464075e-13,4.437523804200841e-13,3.258720260114822e-14,1.9221011868037384e-12,7.2143427943648124e-12,1.1147701550505662,1.4650762928406909
3.501797185185378e-13,4.2716513981656455e-13,2.4562413587569214e-14,9.651331519524845e-13,1.61829904806536e-12,1.1171296381647466,1.4739925071554008
3.5182545915958253e-09,6.204678752261369e-09,4.609985660648354e-10,7.89483342963547e-09,2.1707400498480946e-08,1.1166283575272788,1.5307632497011345
2.339102155581204e-10,8.325901617784579e-11,3.162118954009086e-12,6.751778717195971e-10,2.462464908614054e-09,1.1128292339123969,1.5423759565819248
2.1865074202225414e-13,5.857557279944384e-13,8.235718687733962e-14,2.832188737148869e-13,3.6412013202042336e-13,1.1251891756027637,1.5581377414730937
2.535426183258264e-11,6.371695188216483e-12,1.1311724429110066e-13,1.9543168188841488e-10,3.7652165392218313e-10,1.1129499492114157,1.4787061551642957
4.475791838147601e-13,3.1758552590304056e-13,2.5957502507677818e-14,2.789527167701317e-12,3.1183780841692195e-12,1.120343568140521,1.5264608875950068
2.0766419727291976e-12,4.875613264093666e-13,1.672694178052996e-14,2.2183181867809433e-12,1.5443225122168496e-12,1.1223722756822019,1.4299770576043387
5.062040593417916e-13,4.344626099439061e-13,1.867869537436718e-14,3.8740673463141155e-13,3.840759389976902e-13,1.121079997268043,1.416997226407894
8.563727613398677e-12,1.1167828436638894e-12,2.6809389283737577e-14,7.934312660450568e-13,9.124196239038417e-13,1.1058816092553865,1.380458758251298
1.0960129319594473e-12,8.038658286185934e-13,5.952190858274754e-14,6.200903531566216e-12,8.396599187896597e-12,1.1231381213076845,1.5311331194619413
1.0990378249027872e-12,8.15128515059732e-13,5.5563235620091117e-14,1.1332383615325715e-12,2.296488697296693e-12,1.1225944015248754,1.4405816324034637
1.9083059821941792e-13,5.808234999634564e-13,8.316753682454617e-14,8.211913099980116e-13,2.397564012602857e-12,1.1190671353260382,1.5867142168582427
4.197363194457096e-13,2.842623873690296e-13,1.8368923671891806e-14,1.5570804087875677e-12,2.337333152417858e-12,1.1181417455381788,1.435894284585377
1.6668591633920645e-13,5.419446347988966e-13,5.07053123315361e-14,3.1829210678452544e-13,7.849797287338581e-13,1.1288057693351148,1.5384076266879343
6.328298094767537e-13,5.86301837643404e-13,5.32816933091127e-14,5.323487043692028e-12,9.204984142526836e-12,1.1151382975570312,1.5600039313804275
6.572263963445047e-13,4.3412891427170386e-13,2.3910409346250803e-14,2.4658960986525014e-12,5.107162240158146e-12,1.1200380340333347,1.4727862598136832
5.599994535492109e-13,6.217395237730587e-13,3.541120766852887e-14,6.734350324483201e-13,5.36227996931219e-13,1.1212309777066096,1.4318675297717678
5.903816352256432e-13,4.2758380909457286e-13,7.024862497178298e-14,1.7906067293386628e-12,2.6990623795602295e-12,1.1058087751846268,1.5561014275890621
2.385354486408507e-12,1.3300854587168612e-12,1.746148304155657e-13,2.758356378136554e-12,4.083024747026628e-12,1.1030175654043135,1.5196914258979382
2.3265779664129525e-13,4.604986857125505e-13,2.4858970790830536e-14,2.886176088605072e-13,3.4636866834422647e-13,1.1215672812897062,1.514465652690977
1.837708629062238e-13,2.501701427284515e-13,2.091378412863668e-14,5.711149910026492e-13,1.253097248060686e-12,1.1172243490286056,1.5511658593916402
1.7548555656167675e-13,4.107224020302438e-13,3.362807485208559e-14,3.9419654245018437e-13,1.5190810528692717e-12,1.122470199282625,1.5172157383976228
5.622963420154754e-13,5.879710837170642e-13,4.219764635235357e-14,2.645364611259852e-13,4.1415408770315437e-13,1.1290549467403685,1.4492325239793553
7.13029350163761e-13,6.090739028589317e-13,8.072837625738397e-14,7.170254018700725e-13,8.620221825593511e-13,1.1053084845765706,1.5966977393805333
4.4879946877072e-13,2.405609399669186e-12,3.257616901127258e-13,9.079788240037611e-13,1.3993767472070095e-12,1.1301404341196521,1.5710614278450366
2.968071141912257e-13,6.126400533049868e-13,5.044934014321306e-14,1.7473229254514259e-12,3.192110811955753e-12,1.125160162637009,1.5609344847873936
1.6818600891253963e-13,2.1180518341449193e-13,1.9201503921428788e-14,2.767724093050741e-13,4.840024248948727e-13,1.1196075358043205,1.5410147815140969
4.4879946877072e-13,2.405609399669186e-12,3.257616901127258e-13,9.079788240037611e-13,1.3993767472070095e-12,1.1301404341196521,1.5710614278450366
3.084556811062903e-13,3.5743739913987096e-13,3.022319392153522e-14,7.18751648407292e-13,1.3956951574827784e-12,1.1229694832953039,1.5425003623082154
3.541867924724822e-13,8.877882955323353e-13,8.152747038912016e-14,1.4727137339865805e-13,2.5856721705029943e-13,1.1166762625319957,1.4919578492445
3.541867924724822e-13,8.877882955323353e-13,8.152747038912016e-14,1.4727137339865805e-13,2.5856721705029943e-13,1.1166762625319957,1.4919578492445
7.68810895580356e-13,4.428830617352972e-13,2.3764394146415448e-14,1.0120539593247315e-12,3.097746794012906e-12,1.109363426352129,1.4966294108115294
2.968071141912257e-13,6.126400533049868e-13,5.044934014321306e-14,1.7473229254514259e-12,3.192110811955753e-12,1.125160162637009,1.5609344847873936
3.009063085908347e-13,5.830534814257162e-13,5.826861521719448e-14,6.51842886737889e-13,2.732005267378374e-12,1.1185541463182438,1.5117973770589608
1.5470898018403073e-13,5.651150523507668e-13,6.629106025666862e-14,5.313810358327159e-13,2.3818605125957777e-12,1.1145273734701693,1.5358322099601212
1.1159779819122682e-12,2.892696818182282e-12,4.33619172274891e-13,1.245679687095549e-12,2.2734695532397867e-12,1.1052664900106834,1.5102324801948688
6.462409868904614e-13,8.994885395902038e-13,4.980734745289888e-14,3.032770933784616e-13,4.2010061382060803e-13,1.1177755776157203,1.4807829340414984
3.106539764335858e-13,2.569750404396582e-13,2.6565606007776284e-14,3.023526706031582e-12,6.4777150802855476e-12,1.113956126004081,1.4880773570831083
3.538639328005027e-13,3.2996526840928984e-13,2.455196149922834e-14,2.278809109880944e-13,2.9638048454650177e-13,1.1123493763389667,1.4891640068747871
1.755840357062719e-13,1.4003122144256153e-13,1.0173838638366459e-14,4.335233015118122e-13,1.5252342909565521e-12,1.1167581268150655,1.439158484300048
1.3195375551529825e-12,6.447412533873248e-13,2.917014498782188e-14,8.30195039149351e-12,3.1878628236330445e-11,1.1065897460261598,1.4871888621902036
7.702739755738576e-13,4.80008594958282e-13,1.9831086473539964e-14,3.352662831285979e-13,3.38434871715121e-13,1.123194046946901,1.3827319532463822
4.14258537181198e-13,6.905984644704226e-13,4.017709998744175e-14,5.831504173181811e-13,9.279473878695652e-13,1.1159220805096952,1.5354648368851447
6.850875817024145e-13,1.0483949014466827e-12,3.8515375070304195e-14,3.247624829025488e-13,5.443801425285355e-13,1.1156516897093194,1.5457281629874347
8.646569135197157e-14,1.412555365517639e-13,1.5931316211927934e-14,8.622593897919746e-13,2.327565915272339e-13,1.1202266717453484,1.5421236385820465
