Frontal_PSD,Frontal_HFD,Temporal_PSD,Temporal_HFD,Central_PSD,Central_HFD,Parietal_PSD,Parietal_HFD,Occipital_PSD,Occipital_HFD,Auxiliary_PSD,Auxiliary_HFD
4.656004600273417e-12,1.6582847019729923,3.1167689876535523e-12,1.5995822042200278,1.893362236178206e-12,1.6056176111910332,2.5419369400823535e-12,1.5583077846260016,2.492836804858622e-12,1.5541182706379781,5.120797245375457e-13,1.6557395208238554
3.985648532658763e-12,1.540246852120516,7.535639215958291e-13,1.5635997764183291,1.252623917850136e-12,1.445366060783669,1.1256041179059613e-12,1.3911052144127745,7.803151546321795e-13,1.4554054049545522,2.1879104977238481e-10,1.4577211351633481
2.3987090724703305e-12,1.2544525942638245,2.3250244242175742e-12,1.329634423949655,2.4414164468740403e-12,1.2310397444867787,3.566491607567011e-12,1.2020267626338055,8.757084937661788e-12,1.1700220946116056,1.521538358635012e-10,1.642377633221848
8.52080827607794e-13,1.540904176071472,6.823762904427418e-13,1.5871050186256106,8.099824290213115e-13,1.4674231538971017,8.126149010776837e-13,1.4264080271492194,7.631170074627945e-13,1.4343803512255646,5.840505363493059e-11,1.4982427776327285
1.098020270166926e-12,1.4197395434256659,7.014592664244947e-13,1.4885922839963,1.1352091601709636e-12,1.3880183572172553,1.1459001370509902e-12,1.4327961752021698,1.643525958557128e-12,1.5345811639848967,1.7463426283651619e-10,1.357694527186683
1.9765510539960682e-12,1.353408850779157,1.6839763936798441e-12,1.4316217837055314,1.8765602008786043e-12,1.26494483015435,3.036533301240313e-12,1.210551145090421,5.313664968483678e-12,1.1901903787705752,9.604002264067082e-11,1.4930928691409262
1.5031647483752676e-12,1.6087886629947266,8.578027666411671e-13,1.6132681311110717,1.0393926865150208e-12,1.4301101886291834,9.819563219318472e-13,1.4455861432011776,1.239258714975236e-12,1.5559447947892258,1.381628781999682e-10,1.3656978649083398
2.891314694854727e-12,1.4438578333789354,1.0384847365300796e-12,1.4856564526626408,1.4183836991797987e-12,1.3612506162067517,1.7413151068769143e-12,1.3346140098057673,1.383059722698363e-12,1.388794508018955,2.134864182208072e-10,1.5415453684326679
4.0324720488228065e-12,1.660455765890529,3.8114868841418585e-12,1.6557712121949835,3.244328404998284e-12,1.697997460742992,4.378463455382568e-12,1.6292849142264851,5.183186117712149e-12,1.5223880521363222,8.645785184154503e-13,1.5601950257773112
4.0324720488228065e-12,1.660455765890529,3.8114868841418585e-12,1.6557712121949835,3.244328404998284e-12,1.697997460742992,4.378463455382568e-12,1.6292849142264851,5.183186117712149e-12,1.5223880521363222,8.645785184154503e-13,1.5601950257773112
4.656004600273417e-12,1.6582847019729923,3.1167689876535523e-12,1.5995822042200278,1.893362236178206e-12,1.6056176111910332,2.5419369400823535e-12,1.5583077846260016,2.492836804858622e-12,1.5541182706379781,5.120797245375457e-13,1.6557395208238554
4.0324720488228065e-12,1.660455765890529,3.8114868841418585e-12,1.6557712121949835,3.244328404998284e-12,1.697997460742992,4.378463455382568e-12,1.6292849142264851,5.183186117712149e-12,1.5223880521363222,8.645785184154503e-13,1.5601950257773112
4.0324720488228065e-12,1.660455765890529,3.8114868841418585e-12,1.6557712121949835,3.244328404998284e-12,1.697997460742992,4.378463455382568e-12,1.6292849142264851,5.183186117712149e-12,1.5223880521363222,8.645785184154503e-13,1.5601950257773112
1.1808880436693752e-12,1.5763925925857447,1.2001010646780541e-12,1.5677326774703024,9.768178657860146e-13,1.6100779834336418,1.2169721237160045e-12,1.5351566581083818,1.6055766815522123e-12,1.4974203761111067,3.0831850789425294e-13,1.6559482080677441
6.5966489500913085e-12,1.9988594966886375,5.6739892084095225e-12,2.0045734545230323,5.8461243259337195e-12,2.035691529046988,6.465832312222961e-12,1.9963920682618,2.444602178703266e-11,1.8408829370883901,1.0491446442868499e-12,1.5985630039400966
1.7546134810100925e-12,1.556814671905313,1.4648490158780887e-12,1.553540324409485,1.1381656130748337e-12,1.5968760087732286,1.5468631331618995e-12,1.5265265975850097,2.1668192552884337e-12,1.4999145883117038,3.8184399488378336e-13,1.6578906316010704
4.454508676605191e-12,1.646193686506917,2.945848439448102e-12,1.6138883313194938,1.6807540467990675e-12,1.6069529467215944,2.315971754453156e-12,1.5592085812438314,2.300483968146321e-12,1.555272071975139,5.670350930386913e-13,1.5611610323175924
9.383281777156973e-12,1.964667502991508,6.249943800421146e-12,1.987436027221925,6.067215757393743e-12,2.015388020512233,6.770268408701716e-12,1.9820992667331214,1.0200549096770733e-10,1.8977597377882636,9.914741762089487e-13,1.7165751118088661
3.3177537311404785e-12,1.561226798658779,2.725212359741504e-12,1.5561816747958375,2.1587319376326776e-12,1.5964468541998054,2.7843059892275804e-12,1.5279947417100217,3.902920784276074e-12,1.5134767786221714,7.127202525586481e-13,1.5421250090994494
2.7279145800920068e-12,1.5712857216320242,2.9746733180552046e-12,1.5436235750828549,1.993706714658878e-12,1.5622251986811302,2.4662109657383733e-12,1.5223713104992358,3.322834881797513e-12,1.416570806762948,5.291498659737433e-13,1.6505099316415883
3.392725880767223e-12,1.9485055261095334,4.302886200100627e-12,1.9326166080550284,4.080406645161561e-12,1.9796631154454545,4.73835016686466e-12,1.9221016223040703,5.042653586906986e-12,1.850441901522046,5.978090869776673e-13,1.7085631224255817
7.996315619011077e-12,1.662505369968427,2.801221178515427e-12,1.575180665786246,2.9810425719570936e-12,1.6241019283200113,3.85343791620868e-12,1.5691160994581466,3.6811879007890225e-12,1.5391819539882188,1.2894433678543148e-12,1.7211972815811725
